Well,Cell_ID,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40,Frame41,Frame42,Frame43,Frame44,Frame45,Frame46,Frame47,Frame48,Frame49,Frame50,Frame51,Frame52,Frame53,Frame54,Frame55,Frame56,Frame57,Frame58,Frame59,Frame60
B2,B2_1,9908.495226,7802.249523,6938.034373,6769.196053,8993.245067,9810.37874,7746.388924,6745.744749,6517.414386,6526.058561,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983
B2,B2_2,6938.034373,6769.196053,8993.245067,9810.37874,7746.388924,6745.744749,6517.414386,6526.058561,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493
B2,B2_3,8993.245067,9810.37874,7746.388924,6745.744749,6517.414386,6526.058561,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912
B2,B2_4,7746.388924,6745.744749,6517.414386,6526.058561,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857
B2,B2_5,6517.414386,6526.058561,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522
B2,B2_6,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522,8126.602941,7520.522059
B2,B2_7,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522,8126.602941,7520.522059,7109.284926,6775.46875
B2,B2_8,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522,8126.602941,7520.522059,7109.284926,6775.46875,6492.707721,6306.350184
B2,B2_9,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522,8126.602941,7520.522059,7109.284926,6775.46875,6492.707721,6306.350184,6211.061581,6151.102941
B2,B2_10,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522,8126.602941,7520.522059,7109.284926,6775.46875,6492.707721,6306.350184,6211.061581,6151.102941,6131.829044,6091.315257
B3,B3_1,9496.5392,7981.34,7195.608,6802.964,6501.4384,6548.536,7730.5984,9068.7944,9344.7888,8002.316,7158.808,6634.9608,6315.0232,6344.18,8478.8536,9031.524,9213.1064,8602.1768,7326.252,6709.76,6381.4432,6306.1336,8460.3848,8849.488,9024.048,8172.1408,7206.3496,6479.332,6205.7424,6186.4168,8339.6552,8738.404,8777.7864,7304.2376,6548.8824,6141.0536,6131.4512,6147.18,6906.6128,8588.5512,8859.9576,8291.6072,7087.6256,6538.188,6136.0376,5912.4624,5886.8816,5993.652,8283.3936,8651.052,8795.7912,7931.2856,6864.1288,6350.0968,6050.8464,5799.8672,5839.0728,8058.9856,8532.4504,8603.2064
B3,B3_2,7195.608,6802.964,6501.4384,6548.536,7730.5984,9068.7944,9344.7888,8002.316,7158.808,6634.9608,6315.0232,6344.18,8478.8536,9031.524,9213.1064,8602.1768,7326.252,6709.76,6381.4432,6306.1336,8460.3848,8849.488,9024.048,8172.1408,7206.3496,6479.332,6205.7424,6186.4168,8339.6552,8738.404,8777.7864,7304.2376,6548.8824,6141.0536,6131.4512,6147.18,6906.6128,8588.5512,8859.9576,8291.6072,7087.6256,6538.188,6136.0376,5912.4624,5886.8816,5993.652,8283.3936,8651.052,8795.7912,7931.2856,6864.1288,6350.0968,6050.8464,5799.8672,5839.0728,8058.9856,8532.4504,8603.2064,6986.411079,7163.637026
B3,B3_3,6501.4384,6548.536,7730.5984,9068.7944,9344.7888,8002.316,7158.808,6634.9608,6315.0232,6344.18,8478.8536,9031.524,9213.1064,8602.1768,7326.252,6709.76,6381.4432,6306.1336,8460.3848,8849.488,9024.048,8172.1408,7206.3496,6479.332,6205.7424,6186.4168,8339.6552,8738.404,8777.7864,7304.2376,6548.8824,6141.0536,6131.4512,6147.18,6906.6128,8588.5512,8859.9576,8291.6072,7087.6256,6538.188,6136.0376,5912.4624,5886.8816,5993.652,8283.3936,8651.052,8795.7912,7931.2856,6864.1288,6350.0968,6050.8464,5799.8672,5839.0728,8058.9856,8532.4504,8603.2064,6986.411079,7163.637026,7170.291545,7182.049563
B3,B3_4,7730.5984,9068.7944,9344.7888,8002.316,7158.808,6634.9608,6315.0232,6344.18,8478.8536,9031.524,9213.1064,8602.1768,7326.252,6709.76,6381.4432,6306.1336,8460.3848,8849.488,9024.048,8172.1408,7206.3496,6479.332,6205.7424,6186.4168,8339.6552,8738.404,8777.7864,7304.2376,6548.8824,6141.0536,6131.4512,6147.18,6906.6128,8588.5512,8859.9576,8291.6072,7087.6256,6538.188,6136.0376,5912.4624,5886.8816,5993.652,8283.3936,8651.052,8795.7912,7931.2856,6864.1288,6350.0968,6050.8464,5799.8672,5839.0728,8058.9856,8532.4504,8603.2064,6986.411079,7163.637026,7170.291545,7182.049563,11061.48542,12043.50875
C2,C2_1,6282.691782,9053.503522,7038.046105,8117.863607,6377.288581,6055.078549,6149.259765,6882.291996,7771.934472,6483.290715,5773.921025,8823.737887,7011.070224,6024.168623,5933.236286,6052.359232,8773.883244,7113.988474,6460.224973,5635.635646,5677.68111,5861.10032,8633.88666,6551.390181,5823.74429,5841.152401,8120.434152,6977.430523,6069.200213,5578.139594,5751.594237,7783.883458,6891.85635,5853.462753,5679.404269,5731.452081,8352.146425,6861.166489,5898.202134,5569.878122,5752.381217,5783.292423,5948.70032,7964.06318,6401.134045,5525.426041,5480.335966,5587.489221,8213.373319,6876.250587,5815.481964,5439.54365,5558.88175,8044.827321,6794.14429,5795.79381,5393.621558,5464.232657,5547.81857,5669.744931
C2,C2_2,7038.046105,8117.863607,6377.288581,6055.078549,6149.259765,6882.291996,7771.934472,6483.290715,5773.921025,8823.737887,7011.070224,6024.168623,5933.236286,6052.359232,8773.883244,7113.988474,6460.224973,5635.635646,5677.68111,5861.10032,8633.88666,6551.390181,5823.74429,5841.152401,8120.434152,6977.430523,6069.200213,5578.139594,5751.594237,7783.883458,6891.85635,5853.462753,5679.404269,5731.452081,8352.146425,6861.166489,5898.202134,5569.878122,5752.381217,5783.292423,5948.70032,7964.06318,6401.134045,5525.426041,5480.335966,5587.489221,8213.373319,6876.250587,5815.481964,5439.54365,5558.88175,8044.827321,6794.14429,5795.79381,5393.621558,5464.232657,5547.81857,5669.744931,9366.864253,8735.24736
C2,C2_3,6377.288581,6055.078549,6149.259765,6882.291996,7771.934472,6483.290715,5773.921025,8823.737887,7011.070224,6024.168623,5933.236286,6052.359232,8773.883244,7113.988474,6460.224973,5635.635646,5677.68111,5861.10032,8633.88666,6551.390181,5823.74429,5841.152401,8120.434152,6977.430523,6069.200213,5578.139594,5751.594237,7783.883458,6891.85635,5853.462753,5679.404269,5731.452081,8352.146425,6861.166489,5898.202134,5569.878122,5752.381217,5783.292423,5948.70032,7964.06318,6401.134045,5525.426041,5480.335966,5587.489221,8213.373319,6876.250587,5815.481964,5439.54365,5558.88175,8044.827321,6794.14429,5795.79381,5393.621558,5464.232657,5547.81857,5669.744931,9366.864253,8735.24736,12356.23982,15873.24887
C2,C2_4,6149.259765,6882.291996,7771.934472,6483.290715,5773.921025,8823.737887,7011.070224,6024.168623,5933.236286,6052.359232,8773.883244,7113.988474,6460.224973,5635.635646,5677.68111,5861.10032,8633.88666,6551.390181,5823.74429,5841.152401,8120.434152,6977.430523,6069.200213,5578.139594,5751.594237,7783.883458,6891.85635,5853.462753,5679.404269,5731.452081,8352.146425,6861.166489,5898.202134,5569.878122,5752.381217,5783.292423,5948.70032,7964.06318,6401.134045,5525.426041,5480.335966,5587.489221,8213.373319,6876.250587,5815.481964,5439.54365,5558.88175,8044.827321,6794.14429,5795.79381,5393.621558,5464.232657,5547.81857,5669.744931,9366.864253,8735.24736,12356.23982,15873.24887,12710.65309,10425.454
C2,C2_5,7771.934472,6483.290715,5773.921025,8823.737887,7011.070224,6024.168623,5933.236286,6052.359232,8773.883244,7113.988474,6460.224973,5635.635646,5677.68111,5861.10032,8633.88666,6551.390181,5823.74429,5841.152401,8120.434152,6977.430523,6069.200213,5578.139594,5751.594237,7783.883458,6891.85635,5853.462753,5679.404269,5731.452081,8352.146425,6861.166489,5898.202134,5569.878122,5752.381217,5783.292423,5948.70032,7964.06318,6401.134045,5525.426041,5480.335966,5587.489221,8213.373319,6876.250587,5815.481964,5439.54365,5558.88175,8044.827321,6794.14429,5795.79381,5393.621558,5464.232657,5547.81857,5669.744931,9366.864253,8735.24736,12356.23982,15873.24887,12710.65309,10425.454,9117.402715,8272.953243
C2,C2_6,5773.921025,8823.737887,7011.070224,6024.168623,5933.236286,6052.359232,8773.883244,7113.988474,6460.224973,5635.635646,5677.68111,5861.10032,8633.88666,6551.390181,5823.74429,5841.152401,8120.434152,6977.430523,6069.200213,5578.139594,5751.594237,7783.883458,6891.85635,5853.462753,5679.404269,5731.452081,8352.146425,6861.166489,5898.202134,5569.878122,5752.381217,5783.292423,5948.70032,7964.06318,6401.134045,5525.426041,5480.335966,5587.489221,8213.373319,6876.250587,5815.481964,5439.54365,5558.88175,8044.827321,6794.14429,5795.79381,5393.621558,5464.232657,5547.81857,5669.744931,9366.864253,8735.24736,12356.23982,15873.24887,12710.65309,10425.454,9117.402715,8272.953243,13664.54299,15610.60784
C2,C2_7,7011.070224,6024.168623,5933.236286,6052.359232,8773.883244,7113.988474,6460.224973,5635.635646,5677.68111,5861.10032,8633.88666,6551.390181,5823.74429,5841.152401,8120.434152,6977.430523,6069.200213,5578.139594,5751.594237,7783.883458,6891.85635,5853.462753,5679.404269,5731.452081,8352.146425,6861.166489,5898.202134,5569.878122,5752.381217,5783.292423,5948.70032,7964.06318,6401.134045,5525.426041,5480.335966,5587.489221,8213.373319,6876.250587,5815.481964,5439.54365,5558.88175,8044.827321,6794.14429,5795.79381,5393.621558,5464.232657,5547.81857,5669.744931,9366.864253,8735.24736,12356.23982,15873.24887,12710.65309,10425.454,9117.402715,8272.953243,13664.54299,15610.60784,12290.04223,15297.49472
C2,C2_8,5933.236286,6052.359232,8773.883244,7113.988474,6460.224973,5635.635646,5677.68111,5861.10032,8633.88666,6551.390181,5823.74429,5841.152401,8120.434152,6977.430523,6069.200213,5578.139594,5751.594237,7783.883458,6891.85635,5853.462753,5679.404269,5731.452081,8352.146425,6861.166489,5898.202134,5569.878122,5752.381217,5783.292423,5948.70032,7964.06318,6401.134045,5525.426041,5480.335966,5587.489221,8213.373319,6876.250587,5815.481964,5439.54365,5558.88175,8044.827321,6794.14429,5795.79381,5393.621558,5464.232657,5547.81857,5669.744931,9366.864253,8735.24736,12356.23982,15873.24887,12710.65309,10425.454,9117.402715,8272.953243,13664.54299,15610.60784,12290.04223,15297.49472,14133.50226,11116.72247
C2,C2_9,8773.883244,7113.988474,6460.224973,5635.635646,5677.68111,5861.10032,8633.88666,6551.390181,5823.74429,5841.152401,8120.434152,6977.430523,6069.200213,5578.139594,5751.594237,7783.883458,6891.85635,5853.462753,5679.404269,5731.452081,8352.146425,6861.166489,5898.202134,5569.878122,5752.381217,5783.292423,5948.70032,7964.06318,6401.134045,5525.426041,5480.335966,5587.489221,8213.373319,6876.250587,5815.481964,5439.54365,5558.88175,8044.827321,6794.14429,5795.79381,5393.621558,5464.232657,5547.81857,5669.744931,9366.864253,8735.24736,12356.23982,15873.24887,12710.65309,10425.454,9117.402715,8272.953243,13664.54299,15610.60784,12290.04223,15297.49472,14133.50226,11116.72247,9461.042232,8450.746606
C2,C2_10,6460.224973,5635.635646,5677.68111,5861.10032,8633.88666,6551.390181,5823.74429,5841.152401,8120.434152,6977.430523,6069.200213,5578.139594,5751.594237,7783.883458,6891.85635,5853.462753,5679.404269,5731.452081,8352.146425,6861.166489,5898.202134,5569.878122,5752.381217,5783.292423,5948.70032,7964.06318,6401.134045,5525.426041,5480.335966,5587.489221,8213.373319,6876.250587,5815.481964,5439.54365,5558.88175,8044.827321,6794.14429,5795.79381,5393.621558,5464.232657,5547.81857,5669.744931,9366.864253,8735.24736,12356.23982,15873.24887,12710.65309,10425.454,9117.402715,8272.953243,13664.54299,15610.60784,12290.04223,15297.49472,14133.50226,11116.72247,9461.042232,8450.746606,8159.960784,14301.92609
C3,C3_1,15189.13886,15562.95683,13380.1832,11112.88798,9512.261377,9018.45741,8191.331389,8305.879813,8529.350058,14581.7923,15590.52159,12934.69428,10664.35356,9308.4014,8466.737456,8299.655776,8717.567095,14680.07118,15325.73396,12301.88215,10388.36756,9244.687281,8423.833139,8005.396733,8145.043174,13892.01517,14891.53092,13410.86464,10888.37806,9299.465578,8389.359393,8540.369895,8337.487748,12518.3874,14797.07001,13886.94166,11118.01517,9319.950992,8887.920653,8198.019837,8043.588098,8113.42007,13552.26138,14760.6231,12626.95799,10159.66161,8913.165694,8219.568261,7992.949825,7907.140023,7862.8028,13171.85181,14387.0105,13260.88565,10527.75379,9159.876313,8386.080513,7734.710618,7612.217036,7767.061844
C3,C3_2,13380.1832,11112.88798,9512.261377,9018.45741,8191.331389,8305.879813,8529.350058,14581.7923,15590.52159,12934.69428,10664.35356,9308.4014,8466.737456,8299.655776,8717.567095,14680.07118,15325.73396,12301.88215,10388.36756,9244.687281,8423.833139,8005.396733,8145.043174,13892.01517,14891.53092,13410.86464,10888.37806,9299.465578,8389.359393,8540.369895,8337.487748,12518.3874,14797.07001,13886.94166,11118.01517,9319.950992,8887.920653,8198.019837,8043.588098,8113.42007,13552.26138,14760.6231,12626.95799,10159.66161,8913.165694,8219.568261,7992.949825,7907.140023,7862.8028,13171.85181,14387.0105,13260.88565,10527.75379,9159.876313,8386.080513,7734.710618,7612.217036,7767.061844,6953.552658,6450.361963
C3,C3_3,9512.261377,9018.45741,8191.331389,8305.879813,8529.350058,14581.7923,15590.52159,12934.69428,10664.35356,9308.4014,8466.737456,8299.655776,8717.567095,14680.07118,15325.73396,12301.88215,10388.36756,9244.687281,8423.833139,8005.396733,8145.043174,13892.01517,14891.53092,13410.86464,10888.37806,9299.465578,8389.359393,8540.369895,8337.487748,12518.3874,14797.07001,13886.94166,11118.01517,9319.950992,8887.920653,8198.019837,8043.588098,8113.42007,13552.26138,14760.6231,12626.95799,10159.66161,8913.165694,8219.568261,7992.949825,7907.140023,7862.8028,13171.85181,14387.0105,13260.88565,10527.75379,9159.876313,8386.080513,7734.710618,7612.217036,7767.061844,6953.552658,6450.361963,8427.860429,7520.593558
C3,C3_4,8191.331389,8305.879813,8529.350058,14581.7923,15590.52159,12934.69428,10664.35356,9308.4014,8466.737456,8299.655776,8717.567095,14680.07118,15325.73396,12301.88215,10388.36756,9244.687281,8423.833139,8005.396733,8145.043174,13892.01517,14891.53092,13410.86464,10888.37806,9299.465578,8389.359393,8540.369895,8337.487748,12518.3874,14797.07001,13886.94166,11118.01517,9319.950992,8887.920653,8198.019837,8043.588098,8113.42007,13552.26138,14760.6231,12626.95799,10159.66161,8913.165694,8219.568261,7992.949825,7907.140023,7862.8028,13171.85181,14387.0105,13260.88565,10527.75379,9159.876313,8386.080513,7734.710618,7612.217036,7767.061844,6953.552658,6450.361963,8427.860429,7520.593558,6595.646217,6800.826687
C3,C3_5,8529.350058,14581.7923,15590.52159,12934.69428,10664.35356,9308.4014,8466.737456,8299.655776,8717.567095,14680.07118,15325.73396,12301.88215,10388.36756,9244.687281,8423.833139,8005.396733,8145.043174,13892.01517,14891.53092,13410.86464,10888.37806,9299.465578,8389.359393,8540.369895,8337.487748,12518.3874,14797.07001,13886.94166,11118.01517,9319.950992,8887.920653,8198.019837,8043.588098,8113.42007,13552.26138,14760.6231,12626.95799,10159.66161,8913.165694,8219.568261,7992.949825,7907.140023,7862.8028,13171.85181,14387.0105,13260.88565,10527.75379,9159.876313,8386.080513,7734.710618,7612.217036,7767.061844,6953.552658,6450.361963,8427.860429,7520.593558,6595.646217,6800.826687,7807.863497,6542.421779
C3,C3_6,15590.52159,12934.69428,10664.35356,9308.4014,8466.737456,8299.655776,8717.567095,14680.07118,15325.73396,12301.88215,10388.36756,9244.687281,8423.833139,8005.396733,8145.043174,13892.01517,14891.53092,13410.86464,10888.37806,9299.465578,8389.359393,8540.369895,8337.487748,12518.3874,14797.07001,13886.94166,11118.01517,9319.950992,8887.920653,8198.019837,8043.588098,8113.42007,13552.26138,14760.6231,12626.95799,10159.66161,8913.165694,8219.568261,7992.949825,7907.140023,7862.8028,13171.85181,14387.0105,13260.88565,10527.75379,9159.876313,8386.080513,7734.710618,7612.217036,7767.061844,6953.552658,6450.361963,8427.860429,7520.593558,6595.646217,6800.826687,7807.863497,6542.421779,6349.93865,8333.456033
